education,education-num,age,fnlwgt,hours-per-week,capital-loss,capital-gain
11,8,13,5384,34,21,0
9,12,17,14804,39,0,0
15,9,12,5178,49,0,0
10,15,31,11784,59,47,0
15,9,20,13000,47,0,0
7,11,31,9538,39,0,0
11,8,15,16161,39,0,0
12,13,59,5912,39,0,0
9,12,27,12548,59,0,108
12,13,30,7684,49,0,0
15,9,3,11443,39,0,0
11,8,12,4144,39,0,0
11,8,15,18787,39,0,94
0,5,0,18393,31,0,116
1,6,13,12178,39,0,0
11,8,14,11560,39,0,0
11,8,25,5945,39,0,0
9,12,7,20966,39,0,0
14,14,21,2177,39,0,0
11,8,39,19266,49,46,0
15,9,11,20284,24,0,66
11,8,19,4098,39,0,0
6,4,36,3548,49,0,0
15,9,39,18330,49,0,0
8,10,32,12438,39,0,0
15,9,38,16056,55,0,0
11,8,5,4084,40,0,0
15,9,4,12727,39,0,0
9,12,23,5493,59,0,0
9,12,13,2654,39,0,0
9,12,12,17007,49,0,0
15,9,2,18279,34,0,0
9,12,30,17821,39,0,0
15,9,3,4842,27,33,0
7,11,14,5114,39,0,0
11,8,18,6282,39,0,0
15,9,22,20039,39,0,0
7,11,11,2346,59,0,0
11,8,7,1214,39,40,0
11,8,21,5660,34,0,68
9,12,20,16364,49,0,0
7,11,29,7460,35,0,0
12,13,21,6038,39,0,0
11,8,26,1867,59,0,0
8,10,10,8790,34,0,0
15,9,3,723,19,0,0
15,9,32,2858,39,0,0
11,8,44,2223,39,0,0
15,9,10,15213,39,0,0
15,9,2,18763,29,0,0
8,10,28,12356,39,20,0
15,9,53,4306,39,0,0
11,8,14,11153,29,0,0
15,9,5,9981,23,0,0
11,8,19,4545,23,0,0
1,6,47,10627,39,62,0
15,9,26,9898,39,0,0
15,9,30,11170,37,0,0
11,8,17,12529,39,0,0
9,12,16,8773,39,0,0
11,8,4,18109,34,0,0
11,8,35,16316,44,0,0
11,8,31,11373,45,0,0
9,12,6,14004,39,0,0
15,9,54,21290,1,41,0
11,8,12,11815,59,0,0
9,12,25,14949,49,0,0
3,1,51,985,19,0,0
11,8,8,16310,39,0,0
12,13,27,2712,39,0,0
11,8,11,3171,39,0,0
12,13,28,12840,39,0,0
15,9,19,13412,39,0,0
7,11,22,15376,41,0,0
12,13,29,4082,39,0,0
1,6,1,160,15,0,0
8,10,49,1764,19,0,0
11,8,10,5968,39,51,0
11,8,11,9975,39,0,0
15,9,34,3577,39,50,0
9,12,10,20937,49,0,0
9,12,11,7723,39,0,0
11,8,10,16350,24,0,0
11,8,4,18641,39,0,0
11,8,17,21259,39,0,0
11,8,1,10954,11,0,0
9,12,16,924,64,0,0
15,9,27,10642,37,0,0
15,9,26,5083,39,0,0
15,9,13,21546,44,0,0
5,3,23,17766,39,0,0
15,9,20,322,41,0,0
11,8,17,18364,39,0,0
9,12,24,7228,39,0,0
9,12,36,6664,49,0,0
12,13,14,3867,49,0,0
10,15,41,4662,0,0,0
15,9,21,8144,27,0,0
15,9,7,8470,39,0,0
9,12,24,21394,39,0,0
15,9,30,5657,44,0,0
9,12,24,6385,23,0,0
4,2,6,12442,39,0,0
15,9,19,3825,39,0,0
12,13,23,1861,54,0,105
12,13,18,6926,39,0,91
11,8,7,599,39,0,0
12,13,9,20567,39,45,0
11,8,2,9505,39,0,0
9,12,34,16629,49,0,0
15,9,25,16395,39,13,0
11,8,20,1432,34,0,0
1,6,1,7000,39,0,0
9,12,19,6247,35,0,91
11,8,18,863,59,0,0
11,8,41,13689,34,0,108
1,6,0,2180,11,0,0
11,8,27,8595,39,0,0
11,8,20,13504,39,0,0
15,9,18,8038,39,0,0
11,8,43,3062,39,0,0
5,3,37,6003,39,0,0
9,12,20,21548,59,0,0
7,11,33,18649,39,0,0
9,12,21,10788,49,0,0
9,12,28,4651,54,0,0
0,5,8,16407,39,0,0
15,9,14,12494,39,0,0
3,1,47,11367,39,0,0
11,8,72,1603,39,65,0
11,8,37,10147,19,0,0
13,0,36,7009,34,0,0
11,8,1,15842,39,0,0
0,5,43,105,9,0,0
11,8,49,9189,49,0,11
8,10,58,18674,19,0,0
11,8,48,10167,39,0,0
1,6,18,21416,39,0,60
11,8,24,6361,37,0,0
15,9,8,8486,41,0,0
15,9,16,4786,39,0,0
14,14,11,2632,54,0,0
11,8,42,17039,39,0,0
15,9,23,9493,37,0,0
9,12,24,10516,49,0,0
12,13,21,5131,68,0,0
11,8,6,5166,39,0,0
9,12,23,19647,39,0,0
11,8,24,12302,19,0,0
7,11,7,17258,49,0,0
15,9,3,5520,19,0,0
15,9,21,10450,39,38,0
11,8,39,13082,34,0,0
11,8,41,15450,44,0,0
11,8,15,10952,33,0,0
7,11,23,13450,59,50,0
11,8,28,7991,39,0,0
14,14,24,4925,39,0,0
9,12,25,20479,39,0,0
0,5,42,9561,29,0,0
15,9,2,232,39,0,0
15,9,41,16616,19,0,0
11,8,25,18328,39,0,0
11,8,3,5390,39,0,0
11,8,15,9675,29,0,0
8,10,28,11368,44,0,0
5,3,33,13170,39,0,0
9,12,19,7758,39,0,0
11,8,28,3715,59,0,0
1,6,0,15980,11,0,0
15,9,42,7449,39,0,66
1,6,9,20293,39,0,0
15,9,20,16527,72,0,0
15,9,2,14325,23,0,0
11,8,47,39,39,0,0
9,12,16,11122,44,0,0
11,8,16,14537,39,0,0
11,8,44,2355,39,0,0
6,4,0,11780,23,0,6
12,13,33,432,92,0,34
12,13,10,13570,34,0,0
11,8,13,2371,39,0,0
11,8,26,21233,39,0,0
15,9,27,9524,39,0,91
15,9,18,11655,39,0,0
15,9,8,12068,39,0,0
15,9,7,17481,47,0,91
9,12,5,772,14,0,0
15,9,25,3682,39,0,79
7,11,17,9987,44,0,0
9,12,43,9813,41,0,0
11,8,4,13289,39,0,0
12,13,40,20910,39,0,108
14,14,24,14433,59,0,0
15,9,33,10139,44,0,0
9,12,8,20152,39,0,0
5,3,33,12078,39,0,0
9,12,19,12764,44,0,0
11,8,14,6158,39,0,0
9,12,12,14426,55,0,0
15,9,4,15172,44,0,0
9,12,10,16105,39,0,0
11,8,48,4793,15,0,0
9,12,20,1889,59,0,0
12,13,22,8315,39,0,58
11,8,7,17423,39,0,0
11,8,21,9371,76,0,0
9,12,31,7464,39,0,94
15,9,4,8035,24,0,0
11,8,14,14230,44,0,0
11,8,38,15581,39,0,68
15,9,7,18337,39,0,0
11,8,26,9751,39,0,0
7,11,9,12082,44,0,0
7,11,29,2918,32,0,0
7,11,18,12069,39,0,0
15,9,24,777,53,0,0
9,12,9,1961,39,0,0
12,13,17,7207,34,0,91
15,9,2,21627,24,0,0
9,12,19,13273,39,0,0
15,9,5,12705,14,0,0
15,9,7,11855,39,0,0
15,9,60,6906,39,0,0
4,2,5,20595,39,0,0
15,9,12,20884,39,0,0
11,8,45,8498,23,0,0
11,8,22,9854,39,0,0
15,9,26,1537,49,17,0
11,8,18,11180,44,0,0
1,6,12,12769,39,0,0
12,13,59,9855,9,0,0
11,8,46,2713,44,0,0
8,10,6,13784,14,0,0
15,9,26,11377,49,46,0
11,8,41,18890,39,0,0
11,8,49,6185,54,0,22
15,9,24,13365,44,0,0
9,12,9,14690,39,0,0
8,10,30,10383,39,0,0
0,5,38,3741,39,0,0
11,8,36,15805,39,0,0
4,2,0,17132,47,0,0
11,8,13,3464,39,0,0
12,13,32,2405,59,0,0
11,8,2,4208,29,0,0
11,8,28,16701,39,0,0
7,11,9,3500,39,0,0
8,10,21,18119,39,0,91
11,8,19,5534,39,0,91
11,8,16,3026,19,0,0
15,9,5,18016,39,0,0
9,12,26,15768,41,0,0
1,6,50,850,7,0,0
8,10,13,7887,39,0,0
7,11,39,3951,24,0,0
9,12,14,8229,24,0,0
9,12,16,5411,39,0,0
11,8,9,11891,39,0,0
9,12,16,4816,39,0,0
1,6,29,19116,29,0,0
9,12,42,20153,39,0,0
11,8,21,3527,39,0,0
1,6,48,8634,39,0,0
8,10,23,3585,39,0,0
11,8,25,4857,34,0,0
6,4,9,5312,39,0,0
0,5,19,19652,23,0,0
12,13,45,17095,39,0,0
9,12,26,10567,44,0,0
9,12,26,9890,44,20,0
11,8,5,20757,54,0,0
11,8,11,3372,39,0,0
15,9,39,10843,44,0,0
7,11,5,19981,14,0,0
9,12,40,13839,44,0,0
11,8,22,21247,39,0,0
15,9,9,11162,14,0,0
1,6,0,3253,9,0,0
8,10,23,10963,37,0,0
11,8,28,16493,39,0,0
11,8,27,8546,39,0,0
15,9,3,19728,9,0,0
11,8,16,16974,39,0,0
15,9,6,821,39,0,0
12,13,29,2809,29,0,0
11,8,21,9712,49,0,0
11,8,37,9856,39,0,0
4,2,29,14034,44,72,0
15,9,8,19566,39,0,0
15,9,29,4582,39,0,0
15,9,19,5333,39,0,0
11,8,6,20551,24,0,0
11,8,12,6613,39,0,0
15,9,27,8681,5,76,0
15,9,2,148,15,0,0
11,8,2,15193,39,0,0
11,8,18,14405,39,0,0
9,12,10,18268,49,0,0
7,11,29,17415,39,0,0
9,12,17,3716,44,0,94
11,8,17,12315,34,0,0
15,9,27,5176,39,0,0
15,9,28,3642,39,0,0
11,8,3,6796,34,0,0
9,12,8,3108,54,0,0
9,12,35,6472,49,0,0
15,9,3,20813,39,0,0
15,9,11,4575,39,0,0
9,12,33,17838,39,0,0
8,10,17,14901,63,0,0
5,3,11,9080,39,62,0
12,13,24,21064,64,50,0
11,8,11,4707,39,0,0
11,8,29,18773,24,0,0
15,9,11,5826,39,46,0
15,9,15,20018,49,0,0
15,9,24,1181,23,0,0
11,8,7,15771,39,0,0
15,9,16,5457,39,0,0
10,15,29,11454,59,0,108
15,9,14,21636,39,0,0
2,7,18,3378,49,0,0
3,1,35,11726,39,0,0
1,6,13,20920,18,0,0
1,6,17,15880,39,0,0
11,8,17,15677,39,0,0
15,9,3,2052,29,0,0
1,6,0,9942,17,0,26
9,12,15,3360,39,0,0
11,8,12,11457,39,0,0
0,5,16,14957,34,0,0
11,8,8,6553,59,0,0
12,13,19,16414,39,15,0
11,8,6,13186,69,0,0
11,8,46,14544,39,0,0
12,13,30,17812,39,0,0
11,8,63,4504,23,0,0
1,6,0,12989,39,0,0
9,12,23,13129,39,0,25
7,11,13,364,24,0,0
15,9,10,5239,39,51,0
12,13,16,13510,49,0,0
11,8,17,17713,59,0,3
15,9,17,5303,39,0,0
15,9,6,2831,39,0,0
15,9,25,19402,39,0,0
9,12,12,20005,39,0,0
11,8,28,1325,27,0,0
11,8,7,11760,39,0,0
15,9,27,5267,39,0,0
6,4,10,20699,39,0,0
15,9,3,18179,34,0,0
11,8,27,17916,39,0,0
11,8,34,1866,39,0,0
11,8,3,7486,39,0,0
1,6,0,16611,4,0,0
11,8,2,13351,39,0,0
15,9,28,12433,54,0,0
11,8,43,15940,39,0,0
7,11,25,12464,39,0,0
11,8,27,15347,39,0,0
8,10,23,2469,39,0,0
11,8,13,10545,39,0,0
15,9,21,19740,49,0,0
11,8,6,1721,59,0,0
15,9,15,5191,39,0,0
7,11,27,5267,39,0,0
11,8,37,17858,39,0,0
9,12,15,6491,49,0,0
3,1,33,12031,39,0,0
9,12,7,9441,19,0,0
11,8,20,6098,59,0,0
11,8,35,818,39,0,0
15,9,21,685,39,0,0
12,13,32,11952,44,50,0
9,12,13,5464,15,0,0
15,9,43,12935,39,0,0
15,9,5,6979,39,0,0
11,8,18,17720,39,0,0
11,8,13,18363,59,0,0
8,10,50,1492,23,0,0
9,12,29,17469,39,0,0
6,4,0,13801,5,0,0
15,9,5,17562,29,0,0
0,5,10,8616,39,0,0
11,8,6,12501,34,0,0
7,11,16,4844,44,0,0
15,9,26,9508,19,0,0
9,12,11,2365,19,0,0
11,8,24,12055,39,0,0
2,7,35,17166,39,0,3
15,9,8,11608,19,0,0
3,1,46,20627,34,0,0
11,8,42,17789,44,0,0
9,12,28,8897,39,0,0
9,12,21,3310,59,0,108
11,8,23,19649,34,0,0
11,8,29,20147,39,0,0
7,11,18,545,59,0,0
11,8,17,11309,24,0,0
9,12,16,10321,19,0,0
11,8,24,19506,35,0,0
15,9,3,16770,39,0,0
4,2,6,20649,39,0,0
15,9,9,2140,34,0,0
11,8,55,18349,19,0,0
11,8,6,18993,39,0,0
11,8,45,5046,39,0,0
15,9,35,1466,39,0,0
15,9,41,10602,41,0,0
9,12,8,10611,39,0,0
9,12,7,20439,39,0,0
15,9,2,16168,7,0,0
15,9,26,4873,39,0,0
11,8,30,21427,39,0,0
11,8,22,3358,39,0,0
8,10,32,7133,41,14,0
4,2,36,16268,29,0,0
8,10,15,909,44,0,0
15,9,17,19321,49,0,0
11,8,11,11564,44,0,0
8,10,40,14538,37,0,0
15,9,8,16957,19,0,0
15,9,3,14011,23,0,0
15,9,4,13139,34,0,0
9,12,17,4532,49,0,0
9,12,21,3794,76,0,108
11,8,33,12320,49,0,94
15,9,7,16100,49,0,0
15,9,20,11174,44,0,0
15,9,27,10299,57,0,0
15,9,11,3061,39,0,0
9,12,25,14482,39,0,0
15,9,57,3800,8,0,0
11,8,21,11680,49,0,0
12,13,27,13001,39,0,0
1,6,27,4641,45,0,0
11,8,9,4577,39,0,0
11,8,19,12419,39,0,0
7,11,24,4004,49,0,0
14,14,50,15148,47,0,111
2,7,22,13468,49,0,0
3,1,40,11747,29,0,0
8,10,12,4054,39,0,0
9,12,14,1138,44,0,0
11,8,17,11640,39,0,0
15,9,27,13682,39,0,0
10,15,12,6598,39,0,0
15,9,13,15533,39,0,0
11,8,10,8853,39,0,0
15,9,10,12927,49,0,0
11,8,15,2978,44,0,0
0,5,41,1600,7,0,0
15,9,18,15247,39,0,0
11,8,4,16639,35,0,0
15,9,11,11047,39,0,0
15,9,29,15974,49,0,0
11,8,19,216,39,0,0
1,6,55,13246,39,0,0
11,8,18,14995,39,0,0
8,10,16,18849,39,0,0
1,6,52,6725,39,0,0
11,8,18,1749,39,0,0
11,8,14,18946,19,0,0
11,8,17,7617,31,0,0
1,6,13,7929,39,0,0
9,12,11,5042,54,0,0
9,12,37,13887,34,0,0
15,9,30,16827,49,0,0
11,8,7,2902,39,0,0
9,12,35,19223,59,0,0
11,8,3,230,47,0,0
12,13,26,11461,44,0,77
5,3,28,20973,39,0,0
11,8,12,4756,34,0,0
12,13,30,3134,41,0,0
11,8,7,19813,39,0,0
11,8,34,3535,39,0,0
1,6,0,15812,11,0,0
8,10,20,61,39,50,0
10,15,10,8364,68,0,0
9,12,12,19713,39,0,0
2,7,1,9004,24,0,0
7,11,19,308,34,0,0
9,12,41,17661,39,0,0
15,9,9,3096,44,0,0
15,9,48,12267,29,0,0
11,8,40,2356,39,0,0
11,8,42,12706,39,0,0
11,8,10,10671,39,0,0
9,12,14,19434,39,0,0
15,9,4,12483,23,0,0
15,9,12,720,59,0,0
1,6,1,8255,39,0,0
0,5,35,159,46,46,0
9,12,40,4191,76,0,0
11,8,25,6804,39,0,0
11,8,38,4288,39,0,0
5,3,43,1041,47,0,0
9,12,14,9273,39,0,94
9,12,6,5390,39,0,0
11,8,10,16963,39,0,0
15,9,6,3830,24,0,0
14,14,25,13988,49,47,0
15,9,8,12770,39,0,25
9,12,32,6744,44,0,0
9,12,15,15649,39,0,0
15,9,2,14204,27,0,0
5,3,43,1585,39,0,0
6,4,25,10024,39,0,0
7,11,18,12124,39,0,0
11,8,31,1312,36,0,0
12,13,34,20752,39,0,0
11,8,12,10774,39,0,0
11,8,19,19387,39,0,0
0,5,0,9392,20,0,0
12,13,35,12820,59,0,90
11,8,7,16058,39,0,0
11,8,7,16181,49,0,0
9,12,9,13489,39,0,6
9,12,10,4687,19,0,0
11,8,22,13464,59,0,0
11,8,13,20100,44,0,0
11,8,33,5049,31,0,0
9,12,35,1569,54,0,0
14,14,29,4058,44,0,108
9,12,6,11693,19,0,0
1,6,28,21161,19,0,0
6,4,48,4642,23,0,0
8,10,12,734,54,0,0
6,4,30,15762,39,0,0
11,8,13,5911,59,0,0
11,8,17,8031,44,0,0
11,8,21,16982,63,0,0
15,9,16,13257,39,0,0
9,12,32,17011,25,0,0
15,9,30,8952,39,0,0
0,5,32,5625,39,0,0
15,9,26,8080,59,0,108
9,12,13,4166,39,0,0
11,8,41,827,59,0,0
11,8,2,16762,13,0,0
9,12,4,14797,39,0,0
9,12,16,10029,59,0,108
4,2,30,16091,49,0,0
10,15,35,17880,59,0,0
11,8,9,2583,54,0,0
11,8,43,12667,39,0,0
15,9,4,8598,39,0,0
15,9,19,11476,49,0,79
15,9,14,1812,44,0,0
10,15,33,12218,39,0,0
11,8,14,20636,39,0,0
11,8,54,2708,14,0,0
11,8,41,8396,49,0,0
9,12,13,9373,39,0,0
15,9,3,6403,19,0,0
11,8,7,21456,49,0,67
10,15,18,17984,39,0,0
15,9,21,7277,44,0,0
11,8,10,17837,31,0,0
15,9,12,2423,39,0,0
6,4,53,9154,14,0,8
11,8,17,4419,44,0,0
5,3,27,14350,34,0,0
11,8,26,9883,39,0,0
2,7,27,19255,39,0,0
12,13,18,16710,59,0,0
15,9,10,4854,39,0,0
12,13,26,12123,37,0,0
15,9,3,2822,24,0,0
7,11,25,19442,39,0,97
15,9,10,16157,39,0,54
11,8,25,16021,39,0,0
1,6,3,5095,39,40,0
6,4,7,9634,39,34,0
15,9,31,4737,39,0,0
1,6,0,2777,19,0,0
1,6,0,20090,9,0,0
9,12,16,10781,39,0,0
11,8,33,14356,49,0,0
11,8,5,15710,39,0,39
2,7,0,4091,15,0,0
15,9,15,14802,39,0,0
11,8,14,6008,44,0,0
11,8,41,13117,49,0,0
11,8,12,3372,47,0,0
8,10,20,8614,39,0,0
11,8,17,11665,39,0,0
15,9,6,20954,39,0,0
1,6,1,1964,4,0,0
11,8,17,6753,39,0,0
5,3,49,7711,3,0,0
9,12,28,3095,54,0,0
12,13,24,12198,34,0,0
11,8,9,9153,29,0,0
15,9,37,4952,39,0,0
15,9,7,6993,44,0,0
15,9,25,16754,49,0,0
15,9,3,18758,19,0,0
9,12,6,19261,19,0,0
7,11,8,12983,44,0,0
12,13,18,13083,59,0,0
12,13,14,5479,39,47,0
9,12,13,11587,39,0,0
11,8,2,21219,19,0,0
9,12,19,4773,49,0,0
9,12,14,15860,39,14,0
15,9,4,8854,29,0,0
15,9,14,2778,39,0,0
10,15,29,18087,64,0,114
9,12,27,2096,49,0,0
2,7,23,14988,39,0,0
15,9,28,15799,39,0,0
11,8,43,10271,34,0,0
1,6,1,13485,24,0,0
9,12,11,18115,39,0,0
15,9,19,2370,39,0,0
9,12,19,17168,39,0,0
8,10,23,7373,39,0,68
9,12,19,20357,34,0,0
11,8,14,18093,39,0,0
11,8,16,12102,39,0,0
11,8,2,20295,39,0,0
15,9,5,13996,14,0,0
9,12,17,14230,44,0,0
11,8,16,10781,39,0,0
11,8,24,6028,59,55,0
9,12,12,17146,39,0,71
11,8,33,1544,41,0,0
9,12,25,8692,44,0,91
9,12,26,10305,39,0,0
11,8,27,4830,39,0,0
15,9,3,18210,19,0,0
11,8,14,14598,39,0,0
1,6,48,5452,58,0,98
15,9,6,19757,23,0,0
15,9,38,9730,39,0,0
8,10,9,10669,44,74,0
8,10,8,19186,14,0,0
15,9,28,1577,39,0,0
15,9,18,15348,39,0,34
15,9,19,6424,35,0,0
9,12,26,16693,49,0,0
11,8,39,8208,19,0,3
9,12,25,17503,39,0,0
15,9,2,11915,24,0,0
11,8,38,12829,69,0,0
12,13,25,7848,49,0,105
8,10,9,4935,39,0,0
2,7,0,18764,19,0,0
9,12,25,6069,39,0,0
11,8,38,12447,39,0,94
15,9,15,16990,39,0,0
1,6,12,16955,39,0,0
9,12,29,11993,36,0,0
9,12,12,19852,39,0,94
9,12,5,14620,19,0,0
0,5,41,3137,39,0,0
11,8,6,7379,49,0,0
11,8,22,1424,39,0,0
8,10,10,513,37,0,0
11,8,37,17748,39,0,0
9,12,16,5594,44,0,0
11,8,29,9156,39,0,0
11,8,20,4143,39,0,0
11,8,19,3978,17,0,0
11,8,42,20851,37,0,0
11,8,17,5542,39,0,0
10,15,36,6210,68,0,0
9,12,34,20413,54,0,0
0,5,15,17647,41,0,0
15,9,14,18273,39,0,0
15,9,5,7873,29,0,0
9,12,30,4378,49,0,0
11,8,15,11475,39,0,0
15,9,9,9540,37,0,0
4,2,20,19051,31,0,0
11,8,14,15900,54,0,0
8,10,20,17519,23,0,0
11,8,38,5249,37,0,0
8,10,6,17604,55,0,0
15,9,19,1609,39,0,0
12,13,17,2508,39,0,0
9,12,26,14842,49,0,0
15,9,37,17464,39,0,0
15,9,26,7516,39,0,0
8,10,11,12367,41,31,0
8,10,23,6385,49,0,0
15,9,24,1495,59,0,0
9,12,23,15509,54,0,0
15,9,25,9386,37,0,0
11,8,44,890,49,73,0
2,7,1,15123,29,0,0
11,8,42,11871,15,0,0
11,8,4,7734,39,0,6
8,10,31,4030,49,0,0
9,12,24,541,39,0,0
15,9,1,12307,32,0,0
11,8,6,13730,39,0,36
11,8,43,497,59,0,0
15,9,5,8714,19,0,0
11,8,44,6253,39,0,0
11,8,8,18757,39,0,0
12,13,29,3299,34,0,0
9,12,26,17271,39,47,0
7,11,26,8094,39,0,0
11,8,7,4364,29,34,0
1,6,51,18722,19,0,0
11,8,14,1591,37,0,0
1,6,0,12072,19,0,0
11,8,15,15111,47,0,79
12,13,33,88,39,0,0
9,12,16,9416,46,0,50
9,12,47,17105,39,0,0
11,8,3,6910,29,0,0
11,8,13,11820,35,0,0
15,9,5,14396,39,0,0
15,9,26,3458,44,0,0
15,9,5,6811,39,0,0
0,5,0,578,19,0,0
11,8,30,3412,72,0,0
8,10,24,16378,59,0,0
15,9,39,11230,49,0,0
11,8,47,9414,44,0,0
11,8,30,11784,49,0,0
8,10,31,9139,39,0,0
12,13,14,9603,45,0,0
8,10,12,8084,39,0,0
11,8,13,6276,39,0,0
11,8,15,4726,59,32,0
11,8,40,717,41,6,0
11,8,45,9863,39,0,0
11,8,22,21576,23,0,0
15,9,26,15236,24,0,0
9,12,7,8993,39,0,0
1,6,25,16557,14,0,0
15,9,36,12113,39,0,68
15,9,9,17511,39,0,0
11,8,56,10239,39,0,0
1,6,55,315,23,0,0
11,8,38,4300,39,0,0
11,8,8,21316,39,0,0
9,12,24,10563,49,0,0
9,12,7,18898,49,0,0
11,8,46,3070,5,0,0
1,6,0,12523,19,0,0
15,9,18,6667,49,0,0
15,9,34,7511,39,0,0
9,12,45,17938,47,0,0
11,8,38,20429,39,0,68
15,9,26,4102,39,0,0
11,8,23,627,49,0,0
9,12,20,3088,44,0,0
9,12,22,6871,39,0,0
11,8,14,5503,17,0,0
12,13,44,3853,39,0,0
8,10,9,3308,54,0,0
11,8,29,10241,49,0,0
9,12,9,3611,39,0,0
10,15,31,19069,49,0,0
11,8,17,4835,39,0,0
11,8,17,9086,39,0,0
11,8,42,7147,39,0,0
9,12,17,11506,39,0,0
9,12,32,996,55,0,0
1,6,1,14130,19,0,0
11,8,26,11818,39,0,0
1,6,31,17733,49,0,0
15,9,11,7188,68,0,0
11,8,16,2812,39,0,0
15,9,7,18529,14,0,0
0,5,4,2073,39,0,0
1,6,0,20090,27,0,0
15,9,22,10100,49,0,0
9,12,12,16948,39,0,0
9,12,27,1423,39,0,0
15,9,7,5690,49,0,0
12,13,54,7248,39,0,102
9,12,34,8576,39,76,0
4,2,38,17622,24,0,0
9,12,24,12147,59,0,0
11,8,6,7980,6,0,0
8,10,21,20774,39,0,0
11,8,22,5379,39,0,0
11,8,2,20255,29,0,0
6,4,32,2451,39,0,0
9,12,15,17106,39,0,0
11,8,10,3592,68,0,0
9,12,21,3524,49,0,0
15,9,16,16591,59,0,0
15,9,46,7732,14,0,0
9,12,6,13300,27,0,0
15,9,16,8185,59,0,0
11,8,37,20704,39,0,0
8,10,12,10208,44,0,25
15,9,31,7332,29,0,0
9,12,18,20160,39,0,0
8,10,11,8878,39,0,0
9,12,20,10930,49,0,94
14,14,25,10232,64,0,0
12,13,23,9447,39,0,0
15,9,30,19468,54,0,0
9,12,5,14820,49,0,0
9,12,13,3132,44,0,0
11,8,11,4627,39,0,0
5,3,46,313,54,0,0
6,4,34,10055,19,0,0
11,8,5,3850,39,0,0
7,11,10,3271,39,0,0
11,8,18,7924,44,0,0
11,8,29,9582,37,0,0
15,9,20,13739,51,0,0
9,12,7,12994,14,0,0
11,8,20,9281,9,0,0
15,9,36,2317,39,0,0
11,8,10,3418,29,0,0
15,9,21,17459,43,0,0
0,5,36,18576,59,0,0
15,9,17,10052,39,0,0
11,8,6,21425,39,0,0
9,12,22,12941,44,0,108
12,13,26,8425,49,0,0
11,8,50,2638,39,0,0
11,8,64,6713,29,0,0
15,9,4,11238,19,0,0
15,9,6,16539,24,0,0
15,9,8,3721,39,0,0
4,2,25,17266,37,0,0
15,9,21,3649,39,0,0
11,8,47,376,4,0,0
11,8,15,16740,39,0,0
11,8,20,14020,39,0,0
12,13,34,6856,59,0,0
15,9,5,3348,41,0,0
3,1,16,20183,39,0,0
11,8,25,8680,54,0,0
